Black footed Albatross, Albatrosses, Seabirds  
Harris Sparrow, Sparrows, Songbirds  
Henslow Sparrow, Sparrows, Songbirds  
Le Conte Sparrow, Sparrows, Songbirds  
Lincoln Sparrow, Sparrows, Songbirds  
Nelson Sharp tailed Sparrow, Sparrows, Songbirds  
Savannah Sparrow, Sparrows, Songbirds  
Seaside Sparrow, Sparrows, Songbirds  
Song Sparrow, Sparrows, Songbirds  
Tree Sparrow, Sparrows, Songbirds  
Vesper Sparrow, Sparrows, Songbirds  
White crowned Sparrow, Sparrows, Songbirds  
White throated Sparrow, Sparrows, Songbirds  
Cape Glossy Starling, Starlings, Songbirds  
Bank Swallow, Swallows, Songbirds  
Barn Swallow, Swallows, Songbirds  
Cliff Swallow, Swallows, Songbirds  
Tree Swallow, Swallows, Songbirds  
Scarlet Tanager, Tanagers, Songbirds  
Summer Tanager, Tanagers, Songbirds  
Artic Tern, Terns, Seabirds  
Black Tern, Terns, Seabirds  
Caspian Tern, Terns, Seabirds  
Common Tern, Terns, Seabirds  
Elegant Tern, Terns, Seabirds  
Forsters Tern, Terns, Seabirds  
Least Tern, Terns, Seabirds  
Green tailed Towhee, Towhees, Songbirds  
Brown Thrasher, Thrashers, Songbirds  
Sage Thrasher, Thrashers, Songbirds  
Black capped Vireo, Vireos, Songbirds  
Blue headed Vireo, Vireos, Songbirds  
Philadelphia Vireo, Vireos, Songbirds  
Red eyed Vireo, Vireos, Songbirds  
Warbling Vireo, Vireos, Songbirds  
White eyed Vireo, Vireos, Songbirds  
Yellow throated Vireo, Vireos, Songbirds  
Bay breasted Warbler, Warblers, Songbirds  
Black and white Warbler, Warblers, Songbirds  
Black throated Blue Warbler, Warblers, Songbirds  
Blue winged Warbler, Warblers, Songbirds  
Canada Warbler, Warblers, Songbirds  
Cape May Warbler, Warblers, Songbirds  
Cerulean Warbler, Warblers, Songbirds  
Chestnut sided Warbler, Warblers, Songbirds  
Golden winged Warbler, Warblers, Songbirds  
Hooded Warbler, Warblers, Songbirds  
Kentucky Warbler, Warblers, Songbirds  
Magnolia Warbler, Warblers, Songbirds  
Mourning Warbler, Warblers, Songbirds  
Myrtle Warbler, Warblers, Songbirds  
Nashville Warbler, Warblers, Songbirds  
Orange crowned Warbler, Warblers, Songbirds  
Palm Warbler, Warblers, Songbirds  
Pine Warbler, Warblers, Songbirds  
Prairie Warbler, Warblers, Songbirds  
Prothonotary Warbler, Warblers, Songbirds  
Swainson Warbler, Warblers, Songbirds  
Tennessee Warbler, Warblers, Songbirds  
Wilson Warbler, Warblers, Songbirds  
Worm eating Warbler, Warblers, Songbirds  
Yellow Warbler, Warblers, Songbirds  
Northern Waterthrush, Waterthrushes, Songbirds  
Louisiana Waterthrush, Waterthrushes, Songbirds  
Bohemian Waxwing, Waxwings, Songbirds  
Cedar Waxwing, Waxwings, Songbirds  
American Three toed Woodpecker, Woodpeckers, Birds of Prey  
Pileated Woodpecker, Woodpeckers, Birds of Prey  
Red bellied Woodpecker, Woodpeckers, Birds of Prey  
Red cockaded Woodpecker, Woodpeckers, Birds of Prey  
Red headed Woodpecker, Woodpeckers, Birds of Prey  
Downy Woodpecker, Woodpeckers, Birds of Prey  
Bewick Wren, Wrens, Songbirds  
Cactus Wren, Wrens, Songbirds  
Carolina Wren, Wrens, Songbirds  
House Wren, Wrens, Songbirds  
Marsh Wren, Wrens, Songbirds  
Rock Wren, Wrens, Songbirds  
Winter Wren, Wrens, Songbirds  
Common Yellowthroat, Warblers, Songbirds
